LeftOpUri,RightOpUri,LeftOpCount,RightOpCount,LeftWorkTime,RightWorkTime,PerformanceRatio
primal/direct/atomic/float32/add/baseline,        primal/generic/atomic/float32/add/benchmark,      33554432,   33554432,   84,     94,     0.8976
primal/direct/atomic/float64/add/baseline,        primal/generic/atomic/float64/add/benchmark,      33554432,   33554432,   100,    92,     1.0766
primal/direct/atomic/int16/add/baseline,          primal/generic/atomic/int16/add/benchmark,        33554432,   33554432,   107,    94,     1.1458
primal/direct/atomic/int32/add/baseline,          primal/generic/atomic/int32/add/benchmark,        33554432,   33554432,   95,     103,    0.9254
primal/direct/atomic/int64/add/baseline,          primal/generic/atomic/int64/add/benchmark,        33554432,   33554432,   98,     97,     1.0059
primal/direct/atomic/int8/add/baseline,           primal/generic/atomic/int8/add/benchmark,         33554432,   33554432,   91,     99,     0.9201
primal/direct/atomic/uint16/add/baseline,         primal/generic/atomic/uint16/add/benchmark,       33554432,   33554432,   101,    108,    0.9329
primal/direct/atomic/uint32/add/baseline,         primal/generic/atomic/uint32/add/benchmark,       33554432,   33554432,   94,     111,    0.8437
primal/direct/atomic/uint64/add/baseline,         primal/generic/atomic/uint64/add/benchmark,       33554432,   33554432,   99,     108,    0.9171
primal/direct/atomic/uint8/add/baseline,          primal/generic/atomic/uint8/add/benchmark,        33554432,   33554432,   95,     94,     1.0051
primal/direct/atomic/int16/and/baseline,          primal/generic/atomic/int16/and/benchmark,        33554432,   33554432,   95,     105,    0.9034
primal/direct/atomic/int32/and/baseline,          primal/generic/atomic/int32/and/benchmark,        33554432,   33554432,   101,    94,     1.0729
primal/direct/atomic/int64/and/baseline,          primal/generic/atomic/int64/and/benchmark,        33554432,   33554432,   109,    100,    1.0885
primal/direct/atomic/int8/and/baseline,           primal/generic/atomic/int8/and/benchmark,         33554432,   33554432,   105,    96,     1.1023
primal/direct/atomic/uint16/and/baseline,         primal/generic/atomic/uint16/and/benchmark,       33554432,   33554432,   90,     98,     0.9156
primal/direct/atomic/uint32/and/baseline,         primal/generic/atomic/uint32/and/benchmark,       33554432,   33554432,   98,     100,    0.9774
primal/direct/atomic/uint64/and/baseline,         primal/generic/atomic/uint64/and/benchmark,       33554432,   33554432,   105,    121,    0.867
primal/direct/atomic/uint8/and/baseline,          primal/generic/atomic/uint8/and/benchmark,        33554432,   33554432,   95,     101,    0.9353
primal/direct/atomic/float32/dec/baseline,        primal/generic/atomic/float32/dec/benchmark,      33554432,   33554432,   67,     81,     0.8353
primal/direct/atomic/float64/dec/baseline,        primal/generic/atomic/float64/dec/benchmark,      33554432,   33554432,   72,     78,     0.9245
primal/direct/atomic/int16/dec/baseline,          primal/generic/atomic/int16/dec/benchmark,        33554432,   33554432,   69,     78,     0.8842
primal/direct/atomic/int32/dec/baseline,          primal/generic/atomic/int32/dec/benchmark,        33554432,   33554432,   63,     74,     0.8422
primal/direct/atomic/int64/dec/baseline,          primal/generic/atomic/int64/dec/benchmark,        33554432,   33554432,   63,     83,     0.7597
primal/direct/atomic/int8/dec/baseline,           primal/generic/atomic/int8/dec/benchmark,         33554432,   33554432,   75,     72,     1.0441
primal/direct/atomic/uint16/dec/baseline,         primal/generic/atomic/uint16/dec/benchmark,       33554432,   33554432,   67,     77,     0.8656
primal/direct/atomic/uint32/dec/baseline,         primal/generic/atomic/uint32/dec/benchmark,       33554432,   33554432,   71,     78,     0.9159
primal/direct/atomic/uint64/dec/baseline,         primal/generic/atomic/uint64/dec/benchmark,       33554432,   33554432,   67,     81,     0.8315
primal/direct/atomic/uint8/dec/baseline,          primal/generic/atomic/uint8/dec/benchmark,        33554432,   33554432,   69,     77,     0.9001
primal/direct/atomic/float32/div/baseline,        primal/generic/atomic/float32/div/benchmark,      33554432,   33554432,   93,     106,    0.871
primal/direct/atomic/float64/div/baseline,        primal/generic/atomic/float64/div/benchmark,      33554432,   33554432,   149,    146,    1.0197
primal/direct/atomic/int16/div/baseline,          primal/generic/atomic/int16/div/benchmark,        33554432,   33554432,   146,    160,    0.9177
primal/direct/atomic/int32/div/baseline,          primal/generic/atomic/int32/div/benchmark,        33554432,   33554432,   129,    151,    0.8523
primal/direct/atomic/int64/div/baseline,          primal/generic/atomic/int64/div/benchmark,        33554432,   33554432,   376,    336,    1.1211
primal/direct/atomic/int8/div/baseline,           primal/generic/atomic/int8/div/benchmark,         33554432,   33554432,   159,    147,    1.0821
primal/direct/atomic/uint16/div/baseline,         primal/generic/atomic/uint16/div/benchmark,       33554432,   33554432,   149,    147,    1.0136
primal/direct/atomic/uint32/div/baseline,         primal/generic/atomic/uint32/div/benchmark,       33554432,   33554432,   158,    184,    0.8563
primal/direct/atomic/uint64/div/baseline,         primal/generic/atomic/uint64/div/benchmark,       33554432,   33554432,   331,    319,    1.0372
primal/direct/atomic/uint8/div/baseline,          primal/generic/atomic/uint8/div/benchmark,        33554432,   33554432,   156,    157,    0.992
primal/direct/atomic/float32/eq/baseline,         primal/generic/atomic/float32/eq/benchmark,       33554432,   33554432,   132,    103,    1.2879
primal/direct/atomic/float64/eq/baseline,         primal/generic/atomic/float64/eq/benchmark,       33554432,   33554432,   106,    99,     1.0667
primal/direct/atomic/int16/eq/baseline,           primal/generic/atomic/int16/eq/benchmark,         33554432,   33554432,   108,    99,     1.0936
primal/direct/atomic/int32/eq/baseline,           primal/generic/atomic/int32/eq/benchmark,         33554432,   33554432,   103,    97,     1.0638
primal/direct/atomic/int64/eq/baseline,           primal/generic/atomic/int64/eq/benchmark,         33554432,   33554432,   112,    102,    1.0989
primal/direct/atomic/int8/add/baseline,           primal/generic/atomic/int8/add/benchmark,         33554432,   33554432,   105,    96,     1.0893
primal/direct/atomic/uint16/eq/baseline,          primal/generic/atomic/uint16/eq/benchmark,        33554432,   33554432,   113,    99,     1.1402
primal/direct/atomic/uint32/eq/baseline,          primal/generic/atomic/uint32/eq/benchmark,        33554432,   33554432,   98,     102,    0.9605
primal/direct/atomic/uint64/eq/baseline,          primal/generic/atomic/uint64/eq/benchmark,        33554432,   33554432,   97,     101,    0.9623
primal/direct/atomic/uint8/eq/baseline,           primal/generic/atomic/uint8/eq/benchmark,         33554432,   33554432,   106,    98,     1.0822
primal/direct/atomic/int16/flip/baseline,         primal/generic/atomic/int16/flip/benchmark,       33554432,   33554432,   88,     113,    0.7803
primal/direct/atomic/int32/flip/baseline,         primal/generic/atomic/int32/flip/benchmark,       33554432,   33554432,   84,     107,    0.7872
primal/direct/atomic/int64/flip/baseline,         primal/generic/atomic/int64/flip/benchmark,       33554432,   33554432,   85,     103,    0.8289
primal/direct/atomic/int8/flip/baseline,          primal/generic/atomic/int8/flip/benchmark,        33554432,   33554432,   87,     107,    0.8195
primal/direct/atomic/uint16/flip/baseline,        primal/generic/atomic/uint16/flip/benchmark,      33554432,   33554432,   83,     107,    0.7696
primal/direct/atomic/uint32/flip/baseline,        primal/generic/atomic/uint32/flip/benchmark,      33554432,   33554432,   83,     125,    0.6708
primal/direct/atomic/uint64/flip/baseline,        primal/generic/atomic/uint64/flip/benchmark,      33554432,   33554432,   79,     110,    0.7162
primal/direct/atomic/uint8/flip/baseline,         primal/generic/atomic/uint8/flip/benchmark,       33554432,   33554432,   76,     101,    0.7533
primal/direct/atomic/float32/gteq/baseline,       primal/generic/atomic/float32/gteq/benchmark,     33554432,   33554432,   98,     90,     1.0823
primal/direct/atomic/float64/gteq/baseline,       primal/generic/atomic/float64/gteq/benchmark,     33554432,   33554432,   99,     95,     1.0413
primal/direct/atomic/int16/gteq/baseline,         primal/generic/atomic/int16/gteq/benchmark,       33554432,   33554432,   92,     109,    0.8438
primal/direct/atomic/int32/gteq/baseline,         primal/generic/atomic/int32/gteq/benchmark,       33554432,   33554432,   97,     94,     1.0319
primal/direct/atomic/int64/gteq/baseline,         primal/generic/atomic/int64/gteq/benchmark,       33554432,   33554432,   106,    98,     1.0772
primal/direct/atomic/int8/add/baseline,           primal/generic/atomic/int8/add/benchmark,         33554432,   33554432,   100,    100,    0.9927
primal/direct/atomic/uint16/gteq/baseline,        primal/generic/atomic/uint16/gteq/benchmark,      33554432,   33554432,   108,    97,     1.1079
primal/direct/atomic/uint32/gteq/baseline,        primal/generic/atomic/uint32/gteq/benchmark,      33554432,   33554432,   117,    108,    1.0824
primal/direct/atomic/uint64/gteq/baseline,        primal/generic/atomic/uint64/gteq/benchmark,      33554432,   33554432,   99,     98,     1.0134
primal/direct/atomic/uint8/gteq/baseline,         primal/generic/atomic/uint8/gteq/benchmark,       33554432,   33554432,   97,     96,     1.0071
primal/direct/atomic/float32/gt/baseline,         primal/generic/atomic/float32/gt/benchmark,       33554432,   33554432,   98,     119,    0.8244
primal/direct/atomic/float64/gt/baseline,         primal/generic/atomic/float64/gt/benchmark,       33554432,   33554432,   109,    111,    0.9795
primal/direct/atomic/int16/gt/baseline,           primal/generic/atomic/int16/gt/benchmark,         33554432,   33554432,   94,     97,     0.9671
primal/direct/atomic/int32/gt/baseline,           primal/generic/atomic/int32/gt/benchmark,         33554432,   33554432,   107,    96,     1.1139
primal/direct/atomic/int64/gt/baseline,           primal/generic/atomic/int64/gt/benchmark,         33554432,   33554432,   95,     98,     0.9719
primal/direct/atomic/int8/add/baseline,           primal/generic/atomic/int8/add/benchmark,         33554432,   33554432,   107,    92,     1.1635
primal/direct/atomic/uint16/gt/baseline,          primal/generic/atomic/uint16/gt/benchmark,        33554432,   33554432,   94,     101,    0.9295
primal/direct/atomic/uint32/gt/baseline,          primal/generic/atomic/uint32/gt/benchmark,        33554432,   33554432,   100,    102,    0.979
primal/direct/atomic/uint64/gt/baseline,          primal/generic/atomic/uint64/gt/benchmark,        33554432,   33554432,   99,     99,     0.9993
primal/direct/atomic/uint8/gt/baseline,           primal/generic/atomic/uint8/gt/benchmark,         33554432,   33554432,   99,     113,    0.8757
primal/direct/atomic/float32/inc/baseline,        primal/generic/atomic/float32/inc/benchmark,      33554432,   33554432,   73,     77,     0.9432
primal/direct/atomic/float64/inc/baseline,        primal/generic/atomic/float64/inc/benchmark,      33554432,   33554432,   71,     81,     0.878
primal/direct/atomic/int16/inc/baseline,          primal/generic/atomic/int16/inc/benchmark,        33554432,   33554432,   64,     83,     0.7774
primal/direct/atomic/int32/inc/baseline,          primal/generic/atomic/int32/inc/benchmark,        33554432,   33554432,   73,     82,     0.882
primal/direct/atomic/int64/inc/baseline,          primal/generic/atomic/int64/inc/benchmark,        33554432,   33554432,   64,     74,     0.8724
primal/direct/atomic/int8/inc/baseline,           primal/generic/atomic/int8/inc/benchmark,         33554432,   33554432,   64,     82,     0.7769
primal/direct/atomic/uint16/inc/baseline,         primal/generic/atomic/uint16/inc/benchmark,       33554432,   33554432,   66,     81,     0.8157
primal/direct/atomic/uint32/inc/baseline,         primal/generic/atomic/uint32/inc/benchmark,       33554432,   33554432,   64,     82,     0.7886
primal/direct/atomic/uint64/inc/baseline,         primal/generic/atomic/uint64/inc/benchmark,       33554432,   33554432,   64,     79,     0.8149
primal/direct/atomic/uint8/inc/baseline,          primal/generic/atomic/uint8/inc/benchmark,        33554432,   33554432,   63,     82,     0.7728
primal/direct/atomic/float32/lteq/baseline,       primal/generic/atomic/float32/lteq/benchmark,     33554432,   33554432,   95,     102,    0.9321
primal/direct/atomic/float64/lteq/baseline,       primal/generic/atomic/float64/lteq/benchmark,     33554432,   33554432,   92,     105,    0.8765
primal/direct/atomic/int16/lteq/baseline,         primal/generic/atomic/int16/lteq/benchmark,       33554432,   33554432,   97,     113,    0.8617
primal/direct/atomic/int32/lteq/baseline,         primal/generic/atomic/int32/lteq/benchmark,       33554432,   33554432,   94,     102,    0.9273
primal/direct/atomic/int64/lteq/baseline,         primal/generic/atomic/int64/lteq/benchmark,       33554432,   33554432,   97,     89,     1.0823
primal/direct/atomic/int8/add/baseline,           primal/generic/atomic/int8/add/benchmark,         33554432,   33554432,   94,     109,    0.8633
primal/direct/atomic/uint16/lteq/baseline,        primal/generic/atomic/uint16/lteq/benchmark,      33554432,   33554432,   96,     91,     1.0529
primal/direct/atomic/uint32/lteq/baseline,        primal/generic/atomic/uint32/lteq/benchmark,      33554432,   33554432,   91,     106,    0.8662
primal/direct/atomic/uint64/lteq/baseline,        primal/generic/atomic/uint64/lteq/benchmark,      33554432,   33554432,   102,    98,     1.0406
primal/direct/atomic/uint8/lteq/baseline,         primal/generic/atomic/uint8/lteq/benchmark,       33554432,   33554432,   107,    100,    1.061
primal/direct/atomic/float32/lt/baseline,         primal/generic/atomic/float32/lt/benchmark,       33554432,   33554432,   106,    109,    0.9703
primal/direct/atomic/float64/lt/baseline,         primal/generic/atomic/float64/lt/benchmark,       33554432,   33554432,   100,    102,    0.9746
primal/direct/atomic/int16/lt/baseline,           primal/generic/atomic/int16/lt/benchmark,         33554432,   33554432,   104,    97,     1.0683
primal/direct/atomic/int32/lt/baseline,           primal/generic/atomic/int32/lt/benchmark,         33554432,   33554432,   109,    95,     1.1417
primal/direct/atomic/int64/lt/baseline,           primal/generic/atomic/int64/lt/benchmark,         33554432,   33554432,   107,    92,     1.1651
primal/direct/atomic/int8/add/baseline,           primal/generic/atomic/int8/add/benchmark,         33554432,   33554432,   101,    99,     1.0208
primal/direct/atomic/uint16/lt/baseline,          primal/generic/atomic/uint16/lt/benchmark,        33554432,   33554432,   94,     97,     0.9716
primal/direct/atomic/uint32/lt/baseline,          primal/generic/atomic/uint32/lt/benchmark,        33554432,   33554432,   99,     99,     1.005
primal/direct/atomic/uint64/lt/baseline,          primal/generic/atomic/uint64/lt/benchmark,        33554432,   33554432,   97,     89,     1.086
primal/direct/atomic/uint8/lt/baseline,           primal/generic/atomic/uint8/lt/benchmark,         33554432,   33554432,   98,     94,     1.0399
primal/direct/atomic/float32/mod/baseline,        primal/generic/atomic/float32/mod/benchmark,      33554432,   33554432,   871,    963,    0.9044
primal/direct/atomic/float64/mod/baseline,        primal/generic/atomic/float64/mod/benchmark,      33554432,   33554432,   921,    873,    1.0549
primal/direct/atomic/int16/mod/baseline,          primal/generic/atomic/int16/mod/benchmark,        33554432,   33554432,   135,    169,    0.8004
primal/direct/atomic/int32/mod/baseline,          primal/generic/atomic/int32/mod/benchmark,        33554432,   33554432,   134,    158,    0.8492
primal/direct/atomic/int64/mod/baseline,          primal/generic/atomic/int64/mod/benchmark,        33554432,   33554432,   335,    335,    1.0003
primal/direct/atomic/int8/mod/baseline,           primal/generic/atomic/int8/mod/benchmark,         33554432,   33554432,   135,    160,    0.8456
primal/direct/atomic/uint16/mod/baseline,         primal/generic/atomic/uint16/mod/benchmark,       33554432,   33554432,   145,    216,    0.672
primal/direct/atomic/uint32/mod/baseline,         primal/generic/atomic/uint32/mod/benchmark,       33554432,   33554432,   181,    201,    0.899
primal/direct/atomic/uint64/mod/baseline,         primal/generic/atomic/uint64/mod/benchmark,       33554432,   33554432,   308,    331,    0.9309
primal/direct/atomic/uint8/mod/baseline,          primal/generic/atomic/uint8/mod/benchmark,        33554432,   33554432,   135,    194,    0.6991
primal/direct/atomic/float32/mul/baseline,        primal/generic/atomic/float32/mul/benchmark,      33554432,   33554432,   103,    101,    1.0288
primal/direct/atomic/float64/mul/baseline,        primal/generic/atomic/float64/mul/benchmark,      33554432,   33554432,   94,     103,    0.9138
primal/direct/atomic/int16/mul/baseline,          primal/generic/atomic/int16/mul/benchmark,        33554432,   33554432,   97,     103,    0.9478
primal/direct/atomic/int32/mul/baseline,          primal/generic/atomic/int32/mul/benchmark,        33554432,   33554432,   95,     94,     1.0098
primal/direct/atomic/int64/mul/baseline,          primal/generic/atomic/int64/mul/benchmark,        33554432,   33554432,   101,    92,     1.0963
primal/direct/atomic/int8/mul/baseline,           primal/generic/atomic/int8/mul/benchmark,         33554432,   33554432,   93,     94,     0.9953
primal/direct/atomic/uint16/mul/baseline,         primal/generic/atomic/uint16/mul/benchmark,       33554432,   33554432,   94,     97,     0.964
primal/direct/atomic/uint32/mul/baseline,         primal/generic/atomic/uint32/mul/benchmark,       33554432,   33554432,   116,    96,     1.2138
primal/direct/atomic/uint64/mul/baseline,         primal/generic/atomic/uint64/mul/benchmark,       33554432,   33554432,   93,     89,     1.0403
primal/direct/atomic/uint8/mul/baseline,          primal/generic/atomic/uint8/mul/benchmark,        33554432,   33554432,   95,     102,    0.9288
primal/direct/atomic/int16/or/baseline,           primal/generic/atomic/int16/or/benchmark,         33554432,   33554432,   92,     96,     0.953
primal/direct/atomic/int32/or/baseline,           primal/generic/atomic/int32/or/benchmark,         33554432,   33554432,   91,     99,     0.924
primal/direct/atomic/int64/or/baseline,           primal/generic/atomic/int64/or/benchmark,         33554432,   33554432,   96,     99,     0.9693
primal/direct/atomic/int8/or/baseline,            primal/generic/atomic/int8/or/benchmark,          33554432,   33554432,   98,     99,     0.9828
primal/direct/atomic/uint16/or/baseline,          primal/generic/atomic/uint16/or/benchmark,        33554432,   33554432,   106,    97,     1.0949
primal/direct/atomic/uint32/or/baseline,          primal/generic/atomic/uint32/or/benchmark,        33554432,   33554432,   97,     90,     1.0785
primal/direct/atomic/uint64/or/baseline,          primal/generic/atomic/uint64/or/benchmark,        33554432,   33554432,   94,     108,    0.8712
primal/direct/atomic/uint8/or/baseline,           primal/generic/atomic/uint8/or/benchmark,         33554432,   33554432,   94,     119,    0.7872
primal/direct/atomic/float32/sub/baseline,        primal/generic/atomic/float32/sub/benchmark,      33554432,   33554432,   103,    91,     1.126
primal/direct/atomic/float64/sub/baseline,        primal/generic/atomic/float64/sub/benchmark,      33554432,   33554432,   104,    102,    1.0188
primal/direct/atomic/int16/sub/baseline,          primal/generic/atomic/int16/sub/benchmark,        33554432,   33554432,   94,     98,     0.9603
primal/direct/atomic/int32/sub/baseline,          primal/generic/atomic/int32/sub/benchmark,        33554432,   33554432,   90,     97,     0.9323
primal/direct/atomic/int64/sub/baseline,          primal/generic/atomic/int64/sub/benchmark,        33554432,   33554432,   97,     105,    0.9163
primal/direct/atomic/int8/sub/baseline,           primal/generic/atomic/int8/sub/benchmark,         33554432,   33554432,   94,     98,     0.9658
primal/direct/atomic/uint16/sub/baseline,         primal/generic/atomic/uint16/sub/benchmark,       33554432,   33554432,   95,     90,     1.0547
primal/direct/atomic/uint32/sub/baseline,         primal/generic/atomic/uint32/sub/benchmark,       33554432,   33554432,   96,     90,     1.0678
primal/direct/atomic/uint64/sub/baseline,         primal/generic/atomic/uint64/sub/benchmark,       33554432,   33554432,   105,    92,     1.142
primal/direct/atomic/uint8/sub/baseline,          primal/generic/atomic/uint8/sub/benchmark,        33554432,   33554432,   95,     92,     1.0308
primal/direct/atomic/int16/xor/baseline,          primal/generic/atomic/int16/xor/benchmark,        33554432,   33554432,   92,     100,    0.9271
primal/direct/atomic/int32/xor/baseline,          primal/generic/atomic/int32/xor/benchmark,        33554432,   33554432,   103,    107,    0.9679
primal/direct/atomic/int64/xor/baseline,          primal/generic/atomic/int64/xor/benchmark,        33554432,   33554432,   90,     106,    0.8494
primal/direct/atomic/int8/xor/baseline,           primal/generic/atomic/int8/xor/benchmark,         33554432,   33554432,   95,     91,     1.04
primal/direct/atomic/uint16/xor/baseline,         primal/generic/atomic/uint16/xor/benchmark,       33554432,   33554432,   89,     94,     0.9485
primal/direct/atomic/uint32/xor/baseline,         primal/generic/atomic/uint32/xor/benchmark,       33554432,   33554432,   89,     95,     0.9395
primal/direct/atomic/uint64/xor/baseline,         primal/generic/atomic/uint64/xor/benchmark,       33554432,   33554432,   108,    105,    1.028
primal/direct/atomic/uint8/xor/baseline,          primal/generic/atomic/uint8/xor/benchmark,        33554432,   33554432,   92,     106,    0.869
